epoch,phase,loss,accuracy
0,val,0.6938169598579407,0.484375
0,val,0.6890215277671814,0.5487805008888245
0,train,0.6822643876075745,0.5416666865348816
1,val,0.6901655793190002,0.5487805008888245
1,train,0.6912405490875244,0.5
2,val,0.6907744407653809,0.5487805008888245
2,train,0.6960237622261047,0.4583333432674408
3,val,0.6910552382469177,0.5487805008888245
3,train,0.6887112259864807,0.5833333134651184
4,val,0.6927322149276733,0.5040650367736816
4,train,0.6912798285484314,0.5416666865348816
5,val,0.6895577311515808,0.5487805008888245
5,train,0.6892893314361572,0.5
6,val,0.6902890205383301,0.5325203537940979
6,train,0.6879206299781799,0.5416666865348816
7,val,0.6916212439537048,0.5162601470947266
7,train,0.7063003182411194,0.375
8,val,0.6820749044418335,0.5325203537940979
8,train,0.681821882724762,0.6666666865348816
9,val,0.6742605566978455,0.5325203537940979
9,train,0.7039347290992737,0.5
10,val,0.6701679825782776,0.6219512224197388
10,train,0.7081809043884277,0.5416666865348816
11,val,0.6493521928787231,0.5609756112098694
11,train,0.6335532069206238,0.5833333134651184
12,val,0.6473665237426758,0.6504064798355103
12,train,0.7138886451721191,0.5
13,val,0.626606285572052,0.6504064798355103
13,train,0.6913793683052063,0.5
14,val,0.6565386652946472,0.6178861856460571
14,train,0.6695292592048645,0.5
15,val,0.6203747391700745,0.630081295967102
15,train,0.6174464821815491,0.6666666865348816
16,val,0.6320689916610718,0.6382113695144653
16,train,0.7314703464508057,0.5416666865348816
17,val,0.6083008050918579,0.6666666865348816
17,train,0.6152143478393555,0.7083333134651184
18,val,0.6041460633277893,0.6626016497612
18,train,0.5493177771568298,0.7083333134651184
19,val,0.5936229825019836,0.6585366129875183
19,train,0.6061446070671082,0.625
20,val,0.596013605594635,0.6626016497612
20,train,0.6328502297401428,0.5416666865348816
21,val,0.5792838335037231,0.6788617968559265
21,train,0.8117430806159973,0.5416666865348816
22,val,0.5829454660415649,0.6707317233085632
22,train,0.58957439661026,0.7916666865348816
23,val,0.5819741487503052,0.707317054271698
23,train,0.7589318752288818,0.5833333134651184
24,val,0.5655885934829712,0.7113820910453796
24,train,0.6547219157218933,0.625
25,val,0.5752003192901611,0.7113820910453796
25,train,0.6180860996246338,0.6666666865348816
26,val,0.5805798172950745,0.6544715166091919
26,train,0.5026172995567322,0.75
27,val,0.582907497882843,0.7195122241973877
27,train,0.48257017135620117,0.7916666865348816
28,val,0.5731966495513916,0.7032520174980164
28,train,0.4630511701107025,0.8333333134651184
29,val,0.5880087614059448,0.707317054271698
29,train,0.6959991455078125,0.7083333134651184
30,val,0.5718072652816772,0.6788617968559265
30,train,0.5985413789749146,0.6666666865348816
31,val,0.5606688261032104,0.7235772609710693
31,train,0.6769576668739319,0.5833333134651184
32,val,0.5786828994750977,0.6951219439506531
32,train,0.5812237858772278,0.7916666865348816
33,val,0.5738427639007568,0.727642297744751
33,train,0.5740323662757874,0.75
34,val,0.5675840973854065,0.7154471278190613
34,train,0.7770641446113586,0.5
35,val,0.5503207445144653,0.7398374080657959
35,train,0.648764967918396,0.5833333134651184
36,val,0.5505356788635254,0.7439024448394775
36,train,0.54927659034729,0.7916666865348816
37,val,0.5538540482521057,0.7439024448394775
37,train,0.5755718350410461,0.7083333134651184
38,val,0.544148325920105,0.7235772609710693
38,train,0.5390112996101379,0.7916666865348816
39,val,0.5497843027114868,0.7113820910453796
39,train,0.4939214885234833,0.75
40,val,0.5602717399597168,0.707317054271698
40,train,0.6727175712585449,0.625
41,val,0.5702872276306152,0.6991869807243347
41,train,0.6759886145591736,0.5833333134651184
42,val,0.5538468360900879,0.7235772609710693
42,train,0.6124731302261353,0.75
43,val,0.5640330910682678,0.7154471278190613
43,train,0.584708034992218,0.5833333134651184
44,val,0.5579785108566284,0.7317073345184326
44,train,0.5933993458747864,0.75
45,val,0.5418336391448975,0.7357723712921143
45,train,0.5830232501029968,0.7083333134651184
46,val,0.5536868572235107,0.7439024448394775
46,train,0.7776516079902649,0.5416666865348816
47,val,0.5480826497077942,0.7317073345184326
47,train,0.5833801627159119,0.625
48,val,0.540049135684967,0.7317073345184326
48,train,0.6304978132247925,0.7083333134651184
49,val,0.5570656657218933,0.7154471278190613
49,train,0.7638810276985168,0.625
50,val,0.5457777976989746,0.6951219439506531
50,train,0.5279876589775085,0.7916666865348816
51,val,0.5450043082237244,0.707317054271698
51,train,0.5574644207954407,0.6666666865348816
52,val,0.5422577261924744,0.7235772609710693
52,train,0.6291752457618713,0.625
53,val,0.5516482591629028,0.727642297744751
53,train,0.6057091355323792,0.7083333134651184
54,val,0.5386581420898438,0.7235772609710693
54,train,0.4877721965312958,0.7916666865348816
55,val,0.5505477786064148,0.727642297744751
55,train,0.6084511876106262,0.6666666865348816
56,val,0.5477907061576843,0.7479674816131592
56,train,0.5872780680656433,0.7083333134651184
57,val,0.5377992391586304,0.7317073345184326
57,train,0.6942467093467712,0.5833333134651184
58,val,0.5368570685386658,0.7235772609710693
58,train,0.6838030815124512,0.6666666865348816
59,val,0.5617399215698242,0.7195122241973877
59,train,0.5829960107803345,0.7083333134651184
60,val,0.5605978965759277,0.7195122241973877
60,train,0.5450286269187927,0.6666666865348816
61,val,0.5433201193809509,0.7317073345184326
61,train,0.5180654525756836,0.75
62,val,0.542111337184906,0.707317054271698
62,train,0.5852462649345398,0.7083333134651184
63,val,0.543539822101593,0.7154471278190613
63,train,0.5607373118400574,0.7083333134651184
64,val,0.5684205293655396,0.707317054271698
64,train,0.5316216349601746,0.75
65,val,0.5522747039794922,0.7195122241973877
65,train,0.614764928817749,0.75
66,val,0.5545191764831543,0.7357723712921143
66,train,0.4779109060764313,0.7916666865348816
67,val,0.5377088189125061,0.7195122241973877
67,train,0.6191072463989258,0.6666666865348816
68,val,0.5433700680732727,0.7357723712921143
68,train,0.43081697821617126,0.7916666865348816
69,val,0.560672402381897,0.7113820910453796
69,train,0.5929519534111023,0.7083333134651184
70,val,0.5442004203796387,0.7154471278190613
70,train,0.5567939877510071,0.625
71,val,0.5345147252082825,0.7235772609710693
71,train,0.5402529835700989,0.7083333134651184
72,val,0.5384356379508972,0.707317054271698
72,train,0.6392771601676941,0.625
73,val,0.5490807294845581,0.7032520174980164
73,train,0.4996098577976227,0.7916666865348816
74,val,0.559633731842041,0.707317054271698
74,train,0.6205479502677917,0.7083333134651184
75,val,0.556613564491272,0.707317054271698
75,train,0.6261651515960693,0.7083333134651184
76,val,0.5406610369682312,0.7113820910453796
76,train,0.6154964566230774,0.6666666865348816
77,val,0.5458682775497437,0.7235772609710693
77,train,0.4971459209918976,0.7916666865348816
78,val,0.5389823317527771,0.7235772609710693
78,train,0.47765645384788513,0.875
79,val,0.551555335521698,0.7357723712921143
79,train,0.5588468909263611,0.75
80,val,0.5582814812660217,0.7113820910453796
80,train,0.6877419948577881,0.5833333134651184
81,val,0.5618485808372498,0.707317054271698
81,train,0.5670422911643982,0.75
82,val,0.5247575640678406,0.727642297744751
82,train,0.5389356017112732,0.7916666865348816
83,val,0.5385364294052124,0.7235772609710693
83,train,0.5308278203010559,0.625
84,val,0.538364827632904,0.7317073345184326
84,train,0.546120285987854,0.7083333134651184
85,val,0.5706956386566162,0.6666666865348816
85,train,0.47469040751457214,0.875
86,val,0.5409093499183655,0.727642297744751
86,train,0.664926290512085,0.5833333134651184
87,val,0.5481937527656555,0.7113820910453796
87,train,0.7165050506591797,0.5
88,val,0.5437036752700806,0.727642297744751
88,train,0.5582581162452698,0.7916666865348816
89,val,0.5439223647117615,0.7317073345184326
89,train,0.47003063559532166,0.8333333134651184
90,val,0.5394502878189087,0.727642297744751
90,train,0.585894763469696,0.75
91,val,0.5518484115600586,0.7195122241973877
91,train,0.6280873417854309,0.7083333134651184
92,val,0.5598334670066833,0.6991869807243347
92,train,0.9217557907104492,0.5416666865348816
93,val,0.5361107587814331,0.7113820910453796
93,train,0.6827683448791504,0.7083333134651184
94,val,0.5343810319900513,0.7195122241973877
94,train,0.7258110642433167,0.5416666865348816
95,val,0.5512226223945618,0.6829268336296082
95,train,0.40647923946380615,0.8333333134651184
96,val,0.5307987332344055,0.7317073345184326
96,train,0.5624009966850281,0.7916666865348816
97,val,0.5338132977485657,0.7154471278190613
97,train,0.5108122825622559,0.7916666865348816
98,val,0.5408674478530884,0.7398374080657959
98,train,0.5041866898536682,0.7916666865348816
99,val,0.5288531184196472,0.7439024448394775
99,train,0.5597527623176575,0.6666666865348816
100,val,0.5482046008110046,0.6869918704032898
100,train,0.5869380831718445,0.625
101,val,0.5486780405044556,0.7113820910453796
101,train,0.5466582775115967,0.75
102,val,0.5574100017547607,0.6991869807243347
102,train,0.45609045028686523,0.7916666865348816
103,val,0.5698329210281372,0.6666666865348816
103,train,0.5961108803749084,0.75
104,val,0.5480738878250122,0.7113820910453796
104,train,0.44286322593688965,0.7916666865348816
105,val,0.5572101473808289,0.6869918704032898
105,train,0.6307918429374695,0.625
106,val,0.5382065176963806,0.7195122241973877
106,train,0.47012850642204285,0.7916666865348816
107,val,0.5401843786239624,0.707317054271698
107,train,0.46484360098838806,0.75
108,val,0.5370845198631287,0.7032520174980164
108,train,0.6192531585693359,0.5833333134651184
109,val,0.5865902900695801,0.6626016497612
109,train,0.48982593417167664,0.7083333134651184
110,val,0.5408627986907959,0.7235772609710693
110,train,0.5513868927955627,0.75
111,val,0.5357592701911926,0.7195122241973877
111,train,0.594726026058197,0.6666666865348816
112,val,0.5449225306510925,0.707317054271698
112,train,0.5856425762176514,0.6666666865348816
113,val,0.5489078164100647,0.7113820910453796
113,train,0.4851609766483307,0.75
114,val,0.5403382778167725,0.7235772609710693
114,train,0.6083118319511414,0.6666666865348816
115,val,0.5328554511070251,0.727642297744751
115,train,0.6922492980957031,0.6666666865348816
116,val,0.5370911955833435,0.727642297744751
116,train,0.6280767321586609,0.6666666865348816
117,val,0.5435858368873596,0.7113820910453796
117,train,0.6870408058166504,0.5416666865348816
118,val,0.5260722041130066,0.7195122241973877
118,train,0.459647536277771,0.7916666865348816
119,val,0.5398840308189392,0.7195122241973877
119,train,0.4908095598220825,0.8333333134651184
120,val,0.5488831996917725,0.7195122241973877
120,train,0.5233197808265686,0.75
121,val,0.5305678248405457,0.7032520174980164
121,train,0.4811566174030304,0.75
122,val,0.5324007868766785,0.7113820910453796
122,train,0.6680119037628174,0.625
123,val,0.5384491086006165,0.7113820910453796
123,train,0.47841569781303406,0.7916666865348816
124,val,0.5329121351242065,0.7113820910453796
124,train,0.3645686209201813,0.875
125,val,0.5319287776947021,0.707317054271698
125,train,0.6893317103385925,0.6666666865348816
126,val,0.5395738482475281,0.727642297744751
126,train,0.4666428864002228,0.75
127,val,0.5412670969963074,0.707317054271698
127,train,0.6096559166908264,0.75
128,val,0.5320882201194763,0.7154471278190613
128,train,0.392318993806839,0.875
129,val,0.541476309299469,0.7195122241973877
129,train,0.49157869815826416,0.6666666865348816
130,val,0.5293695330619812,0.7195122241973877
130,train,0.6229018568992615,0.7083333134651184
131,val,0.5390614867210388,0.7113820910453796
131,train,0.5526512861251831,0.6666666865348816
132,val,0.5580031871795654,0.707317054271698
132,train,0.460131973028183,0.7916666865348816
133,val,0.5524482131004333,0.7032520174980164
133,train,0.720781147480011,0.5833333134651184
134,val,0.5379043221473694,0.7195122241973877
134,train,0.503329336643219,0.7916666865348816
135,val,0.5413224101066589,0.7235772609710693
135,train,0.4094599783420563,0.8333333134651184
136,val,0.5424717664718628,0.7154471278190613
136,train,0.5973610877990723,0.6666666865348816
137,val,0.533457338809967,0.6910569071769714
137,train,0.5354212522506714,0.75
138,val,0.5425711870193481,0.7317073345184326
138,train,0.441274493932724,0.8333333134651184
139,val,0.5671947598457336,0.6666666865348816
139,train,0.3950764834880829,0.7916666865348816
140,val,0.5634480118751526,0.7154471278190613
140,train,0.48740825057029724,0.6666666865348816
141,val,0.537893533706665,0.727642297744751
141,train,0.5282326340675354,0.75
142,val,0.5275487899780273,0.7154471278190613
142,train,0.398335337638855,0.875
143,val,0.5384233593940735,0.707317054271698
143,train,0.47793421149253845,0.75
144,val,0.5277318358421326,0.7195122241973877
144,train,0.6635079979896545,0.7083333134651184
145,val,0.5372106432914734,0.727642297744751
145,train,0.5740447640419006,0.75
146,val,0.5592802166938782,0.7032520174980164
146,train,0.502761960029602,0.6666666865348816
147,val,0.542303204536438,0.7195122241973877
147,train,0.6272608041763306,0.6666666865348816
148,val,0.5452404618263245,0.7113820910453796
148,train,0.6686840653419495,0.75
149,val,0.5307023525238037,0.7317073345184326
149,train,0.6448286175727844,0.5833333134651184
150,val,0.5615702271461487,0.7113820910453796
150,train,0.4290887117385864,0.75
151,val,0.5569717288017273,0.7032520174980164
151,train,0.48551949858665466,0.7916666865348816
152,val,0.5392070412635803,0.7154471278190613
152,train,0.42688751220703125,0.8333333134651184
153,val,0.5349250435829163,0.7195122241973877
153,train,0.600254476070404,0.625
154,val,0.5373717546463013,0.7154471278190613
154,train,0.5460957288742065,0.7916666865348816
155,val,0.5456415414810181,0.6910569071769714
155,train,0.5097100138664246,0.7083333134651184
156,val,0.539559543132782,0.7235772609710693
156,train,0.8145052790641785,0.625
157,val,0.5461665391921997,0.7113820910453796
157,train,0.5640116333961487,0.75
158,val,0.5375732779502869,0.7154471278190613
158,train,0.6015058755874634,0.5416666865348816
159,val,0.5424964427947998,0.727642297744751
159,train,0.608177661895752,0.7083333134651184
160,val,0.5453813672065735,0.7113820910453796
160,train,0.4398643970489502,0.8333333134651184
161,val,0.5440444946289062,0.707317054271698
161,train,0.6484634876251221,0.6666666865348816
162,val,0.5463914275169373,0.7032520174980164
162,train,0.6406579613685608,0.5833333134651184
163,val,0.5564706325531006,0.707317054271698
163,train,0.7712244391441345,0.5416666865348816
164,val,0.5801196694374084,0.6788617968559265
164,train,0.4378074109554291,0.8333333134651184
165,val,0.5601115822792053,0.7154471278190613
165,train,0.5826893448829651,0.7916666865348816
