epoch,phase,loss,accuracy
0,val,0.6930792927742004,0.515625
0,val,0.6895277500152588,0.5325203537940979
0,train,0.6730189919471741,0.7083333134651184
1,val,0.6904705166816711,0.5325203537940979
1,train,0.6991731524467468,0.4583333432674408
2,val,0.6872590184211731,0.5325203537940979
2,train,0.6780334115028381,0.5416666865348816
3,val,0.6881124377250671,0.5325203537940979
3,train,0.7207086682319641,0.4166666567325592
4,val,0.6879794597625732,0.5365853905677795
4,train,0.6818649172782898,0.625
5,val,0.6952017545700073,0.45121949911117554
5,train,0.6914722323417664,0.625
6,val,0.6838766932487488,0.6382113695144653
6,train,0.7008138298988342,0.5833333134651184
7,val,0.6725132465362549,0.5447154641151428
7,train,0.6375498175621033,0.7083333134651184
8,val,0.6706732511520386,0.5325203537940979
8,train,0.6830888390541077,0.5833333134651184
9,val,0.6710049510002136,0.5365853905677795
9,train,0.7309278845787048,0.5833333134651184
10,val,0.6594436168670654,0.630081295967102
10,train,0.6786136031150818,0.5416666865348816
11,val,0.6546425223350525,0.642276406288147
11,train,0.6210314631462097,0.5833333134651184
12,val,0.6474775075912476,0.6504064798355103
12,train,0.6786155104637146,0.625
13,val,0.6409047245979309,0.630081295967102
13,train,0.7316147685050964,0.4166666567325592
14,val,0.6359816193580627,0.6504064798355103
14,train,0.6944191455841064,0.5416666865348816
15,val,0.6313888430595398,0.6626016497612
15,train,0.5499348640441895,0.8333333134651184
16,val,0.632582426071167,0.5975610017776489
16,train,0.5526242852210999,0.875
17,val,0.6301031112670898,0.6463414430618286
17,train,0.8049854636192322,0.5416666865348816
18,val,0.6313491463661194,0.6626016497612
18,train,0.72234708070755,0.4166666567325592
19,val,0.6183964014053345,0.6544715166091919
19,train,0.5904635787010193,0.7916666865348816
20,val,0.6087522506713867,0.642276406288147
20,train,0.6249514222145081,0.7083333134651184
21,val,0.6080895662307739,0.6788617968559265
21,train,0.6268982291221619,0.5833333134651184
22,val,0.6030110716819763,0.6747967600822449
22,train,0.6685726642608643,0.5416666865348816
23,val,0.5929961800575256,0.6504064798355103
23,train,0.6158743500709534,0.625
24,val,0.590339720249176,0.6666666865348816
24,train,0.6593098044395447,0.5416666865348816
25,val,0.5882313251495361,0.6788617968559265
25,train,0.6650752425193787,0.6666666865348816
26,val,0.5920013189315796,0.6829268336296082
26,train,0.6090167760848999,0.625
27,val,0.5986791849136353,0.6382113695144653
27,train,0.6460966467857361,0.6666666865348816
28,val,0.6054470539093018,0.6382113695144653
28,train,0.5735949277877808,0.7083333134651184
29,val,0.6010037660598755,0.6626016497612
29,train,0.6992111206054688,0.4583333432674408
30,val,0.614587128162384,0.6747967600822449
30,train,0.6258740425109863,0.7916666865348816
31,val,0.5771960616111755,0.6788617968559265
31,train,0.5811158418655396,0.6666666865348816
32,val,0.5812005996704102,0.7032520174980164
32,train,0.5832380056381226,0.625
33,val,0.5718448758125305,0.6869918704032898
33,train,0.7238931059837341,0.5833333134651184
34,val,0.5946254134178162,0.6869918704032898
34,train,0.6464874148368835,0.5833333134651184
35,val,0.5894374847412109,0.6463414430618286
35,train,0.5794350504875183,0.6666666865348816
36,val,0.5716837048530579,0.6991869807243347
36,train,0.5369063019752502,0.8333333134651184
37,val,0.5729471445083618,0.707317054271698
37,train,0.5335485935211182,0.75
38,val,0.5748052597045898,0.707317054271698
38,train,0.5333324670791626,0.6666666865348816
39,val,0.5762832760810852,0.707317054271698
39,train,0.6369211077690125,0.7083333134651184
40,val,0.5738137364387512,0.7032520174980164
40,train,0.5969027280807495,0.625
41,val,0.5570149421691895,0.6991869807243347
41,train,0.517874002456665,0.7916666865348816
