epoch,phase,loss,accuracy
0,val,0.6949748992919922,0.484375
0,val,0.6927290558815002,0.4674796760082245
0,train,0.69180828332901,0.5
1,val,0.6893759965896606,0.5487805008888245
1,train,0.7323594093322754,0.25
2,val,0.6918923854827881,0.5447154641151428
2,train,0.695004940032959,0.4583333432674408
3,val,0.6903121471405029,0.5487805008888245
3,train,0.6926083564758301,0.5
4,val,0.6928035020828247,0.46341463923454285
4,train,0.6956890225410461,0.3333333432674408
5,val,0.689458429813385,0.5487805008888245
5,train,0.6963648796081543,0.5
6,val,0.6920719742774963,0.5487805008888245
6,train,0.6928672790527344,0.5416666865348816
7,val,0.6893792152404785,0.5487805008888245
7,train,0.691936731338501,0.4583333432674408
8,val,0.6918404698371887,0.5487805008888245
8,train,0.6944710612297058,0.4583333432674408
9,val,0.6902466416358948,0.5487805008888245
9,train,0.6932290196418762,0.4583333432674408
10,val,0.6893356442451477,0.5487805008888245
10,train,0.6809239983558655,0.5833333134651184
11,val,0.6916736960411072,0.5487805008888245
11,train,0.6923252940177917,0.5833333134651184
12,val,0.6903731226921082,0.5325203537940979
12,train,0.6895331740379333,0.5833333134651184
13,val,0.6887423992156982,0.5325203537940979
13,train,0.7076900601387024,0.375
14,val,0.6906370520591736,0.5325203537940979
14,train,0.6904978156089783,0.5416666865348816
15,val,0.687892496585846,0.5325203537940979
15,train,0.6949209570884705,0.4583333432674408
16,val,0.6879507303237915,0.5325203537940979
16,train,0.6861247420310974,0.4583333432674408
17,val,0.6825384497642517,0.5325203537940979
17,train,0.6480312943458557,0.7916666865348816
18,val,0.676582396030426,0.5325203537940979
18,train,0.6680769920349121,0.6666666865348816
19,val,0.6707997918128967,0.6260162591934204
19,train,0.6777706146240234,0.625
20,val,0.6661878824234009,0.6178861856460571
20,train,0.7627887725830078,0.3333333432674408
21,val,0.665969967842102,0.6382113695144653
21,train,0.7055932879447937,0.5416666865348816
22,val,0.6559738516807556,0.6260162591934204
22,train,0.647092342376709,0.5833333134651184
23,val,0.6406717896461487,0.6626016497612
23,train,0.6406592726707458,0.5833333134651184
24,val,0.6528493762016296,0.642276406288147
24,train,0.7047087550163269,0.4583333432674408
25,val,0.6397250294685364,0.6463414430618286
25,train,0.601185142993927,0.5833333134651184
26,val,0.6210612058639526,0.6463414430618286
26,train,0.6877918839454651,0.5833333134651184
27,val,0.6026188135147095,0.6788617968559265
27,train,0.7605143189430237,0.5
28,val,0.6208006739616394,0.6178861856460571
28,train,0.7208314538002014,0.5
29,val,0.6186670660972595,0.6747967600822449
29,train,0.6469027400016785,0.625
30,val,0.5986077189445496,0.6788617968559265
30,train,0.6815391182899475,0.7083333134651184
31,val,0.6721638441085815,0.6178861856460571
31,train,0.6381605863571167,0.7083333134651184
32,val,0.6165726780891418,0.6910569071769714
32,train,0.7023035883903503,0.5416666865348816
33,val,0.6075972318649292,0.6991869807243347
33,train,0.7153818011283875,0.4583333432674408
34,val,0.5839806795120239,0.6910569071769714
34,train,0.6625416874885559,0.5416666865348816
35,val,0.5743487477302551,0.6869918704032898
35,train,0.7092897295951843,0.5416666865348816
36,val,0.5910189747810364,0.6910569071769714
36,train,0.674605131149292,0.5
37,val,0.5776205658912659,0.6991869807243347
37,train,0.6875656247138977,0.5833333134651184
38,val,0.576110303401947,0.6910569071769714
38,train,0.7562945485115051,0.4583333432674408
39,val,0.5789391994476318,0.707317054271698
39,train,0.5921022295951843,0.625
40,val,0.5861896872520447,0.6910569071769714
40,train,0.5564857125282288,0.6666666865348816
41,val,0.5986384749412537,0.6951219439506531
41,train,0.6252574324607849,0.625
42,val,0.5775808691978455,0.7195122241973877
42,train,0.49750176072120667,0.8333333134651184
43,val,0.5610764622688293,0.7154471278190613
43,train,0.5811278223991394,0.625
44,val,0.560859203338623,0.6707317233085632
44,train,0.41290631890296936,0.875
45,val,0.5898235440254211,0.6951219439506531
45,train,0.5672889351844788,0.6666666865348816
46,val,0.5578545331954956,0.7032520174980164
46,train,0.5286098122596741,0.7916666865348816
47,val,0.548392117023468,0.6991869807243347
47,train,0.44138792157173157,0.8333333134651184
48,val,0.5550757050514221,0.7195122241973877
48,train,0.6402245163917542,0.75
49,val,0.5581983923912048,0.7235772609710693
49,train,0.4778313934803009,0.7083333134651184
50,val,0.5654010772705078,0.6829268336296082
50,train,0.5110512375831604,0.8333333134651184
51,val,0.5537857413291931,0.7317073345184326
51,train,0.5768328309059143,0.8333333134651184
52,val,0.5597756505012512,0.6747967600822449
52,train,0.4568045139312744,0.75
53,val,0.5630416870117188,0.6504064798355103
53,train,0.6962024569511414,0.5416666865348816
54,val,0.5632196068763733,0.7195122241973877
54,train,0.46846768260002136,0.8333333134651184
55,val,0.5451732277870178,0.7113820910453796
55,train,0.4679258167743683,0.7916666865348816
56,val,0.5677141547203064,0.7154471278190613
56,train,0.7343510985374451,0.5416666865348816
57,val,0.5455560088157654,0.7154471278190613
57,train,0.5651224255561829,0.7083333134651184
58,val,0.5575796961784363,0.7439024448394775
58,train,0.5525286793708801,0.6666666865348816
59,val,0.5359252095222473,0.727642297744751
59,train,0.5909040570259094,0.6666666865348816
60,val,0.5428721904754639,0.7113820910453796
60,train,0.6788773536682129,0.7083333134651184
61,val,0.5585419535636902,0.7479674816131592
61,train,0.5449947714805603,0.7083333134651184
62,val,0.6022218465805054,0.6788617968559265
