epoch,phase,loss,accuracy
0,val,0.6925694346427917,0.515625
0,val,0.6913845539093018,0.5325203537940979
0,train,0.692830502986908,0.5
1,val,0.6901994347572327,0.5325203537940979
1,train,0.6939371228218079,0.5
2,val,0.6910079121589661,0.5325203537940979
2,train,0.6927068829536438,0.5416666865348816
3,val,0.6875702142715454,0.5325203537940979
3,train,0.7023098468780518,0.4583333432674408
4,val,0.6933088898658752,0.45121949911117554
4,train,0.6829495429992676,0.7083333134651184
5,val,0.678524374961853,0.5365853905677795
5,train,0.69869464635849,0.4583333432674408
6,val,0.6683791279792786,0.5528455376625061
6,train,0.6561543345451355,0.5833333134651184
7,val,0.6526106595993042,0.5569105744361877
7,train,0.6105562448501587,0.625
8,val,0.6567779183387756,0.6504064798355103
8,train,0.6856182217597961,0.625
9,val,0.6474028825759888,0.6463414430618286
9,train,0.5985341668128967,0.6666666865348816
10,val,0.6414936780929565,0.6585366129875183
10,train,0.5807217955589294,0.7083333134651184
11,val,0.6178287267684937,0.6504064798355103
11,train,0.6960790753364563,0.5833333134651184
12,val,0.6185992956161499,0.6707317233085632
12,train,0.6045910716056824,0.6666666865348816
13,val,0.6150195598602295,0.6747967600822449
13,train,0.6033201813697815,0.625
14,val,0.6088472008705139,0.6544715166091919
14,train,0.498762845993042,0.7916666865348816
15,val,0.5992160439491272,0.6910569071769714
15,train,0.5643237233161926,0.7083333134651184
16,val,0.5930337309837341,0.6666666865348816
16,train,0.5754031538963318,0.6666666865348816
17,val,0.6190007925033569,0.6869918704032898
17,train,0.6434425711631775,0.5833333134651184
18,val,0.5967073440551758,0.7154471278190613
18,train,0.5516827702522278,0.8333333134651184
19,val,0.5729317665100098,0.6951219439506531
19,train,0.6763970851898193,0.6666666865348816
20,val,0.5863669514656067,0.7032520174980164
20,train,0.6958544850349426,0.5416666865348816
21,val,0.588318943977356,0.7032520174980164
21,train,0.7105153203010559,0.625
22,val,0.6022917628288269,0.6951219439506531
22,train,0.5596110820770264,0.75
23,val,0.5740419626235962,0.727642297744751
23,train,0.5985217690467834,0.625
24,val,0.5922062397003174,0.6869918704032898
24,train,0.5846179127693176,0.75
25,val,0.5888402462005615,0.7032520174980164
25,train,0.6286943554878235,0.6666666865348816
26,val,0.5686341524124146,0.707317054271698
26,train,0.6131599545478821,0.7083333134651184
27,val,0.5624141097068787,0.7398374080657959
27,train,0.6012616753578186,0.5833333134651184
28,val,0.5578793287277222,0.7317073345184326
28,train,0.5824030041694641,0.6666666865348816
29,val,0.5798217058181763,0.7317073345184326
29,train,0.6415741443634033,0.625
30,val,0.578495442867279,0.6707317233085632
30,train,0.5968777537345886,0.7083333134651184
31,val,0.5691180229187012,0.727642297744751
31,train,0.47777649760246277,0.875
32,val,0.583918035030365,0.642276406288147
32,train,0.7701649069786072,0.4583333432674408
33,val,0.5718885660171509,0.6707317233085632
33,train,0.7406520247459412,0.4583333432674408
34,val,0.5655990242958069,0.7398374080657959
