epoch,phase,loss,accuracy
0,val,0.6927032470703125,0.515625
0,val,0.691295862197876,0.5325203537940979
0,train,0.678424060344696,0.6666666865348816
1,val,0.6913641691207886,0.5325203537940979
1,train,0.6985788345336914,0.4583333432674408
2,val,0.692167341709137,0.5325203537940979
2,train,0.6933951377868652,0.5416666865348816
3,val,0.6917704939842224,0.5325203537940979
3,train,0.7000980973243713,0.4166666567325592
4,val,0.6917142271995544,0.5325203537940979
4,train,0.6906186938285828,0.5416666865348816
5,val,0.6919935345649719,0.5325203537940979
5,train,0.7018833756446838,0.375
6,val,0.6924411058425903,0.5325203537940979
6,train,0.6881466507911682,0.625
7,val,0.6912664771080017,0.5325203537940979
7,train,0.6972367167472839,0.4583333432674408
8,val,0.6918023824691772,0.5325203537940979
8,train,0.6968140006065369,0.4583333432674408
9,val,0.6918437480926514,0.5325203537940979
9,train,0.7014300227165222,0.375
10,val,0.6917415857315063,0.5325203537940979
10,train,0.6860888600349426,0.625
11,val,0.6913229823112488,0.5325203537940979
11,train,0.6876614689826965,0.5833333134651184
12,val,0.6912224292755127,0.5325203537940979
12,train,0.6937560439109802,0.5
13,val,0.6909911036491394,0.5325203537940979
13,train,0.6868293285369873,0.5833333134651184
14,val,0.6914056539535522,0.5325203537940979
14,train,0.7058073878288269,0.3333333432674408
15,val,0.6915799975395203,0.5325203537940979
15,train,0.7077239155769348,0.2916666567325592
16,val,0.6925089359283447,0.5325203537940979
16,train,0.6918036341667175,0.5833333134651184
17,val,0.6916804313659668,0.5325203537940979
17,train,0.6909987330436707,0.5416666865348816
18,val,0.6903436779975891,0.5325203537940979
18,train,0.70443195104599,0.4166666567325592
19,val,0.6910775899887085,0.5325203537940979
19,train,0.6968262791633606,0.4583333432674408
20,val,0.6917721033096313,0.5325203537940979
20,train,0.698663055896759,0.375
21,val,0.6916988492012024,0.5325203537940979
21,train,0.6882855296134949,0.5833333134651184
22,val,0.6909375786781311,0.5325203537940979
22,train,0.6940150260925293,0.5
23,val,0.6909341812133789,0.5325203537940979
23,train,0.6934719085693359,0.5
24,val,0.6911237239837646,0.5325203537940979
24,train,0.6988323330879211,0.4166666567325592
25,val,0.6907942295074463,0.5325203537940979
25,train,0.6848352551460266,0.625
26,val,0.6904691457748413,0.5325203537940979
26,train,0.6909003257751465,0.5416666865348816
27,val,0.6899691820144653,0.5325203537940979
27,train,0.7129674553871155,0.3333333432674408
28,val,0.6916792392730713,0.5325203537940979
28,train,0.6941925883293152,0.5
29,val,0.6913549900054932,0.5325203537940979
29,train,0.6900167465209961,0.5833333134651184
30,val,0.6903074979782104,0.5325203537940979
30,train,0.6917334198951721,0.5416666865348816
31,val,0.6896753311157227,0.5325203537940979
31,train,0.6737303137779236,0.6666666865348816
32,val,0.6902064681053162,0.5325203537940979
32,train,0.6859468817710876,0.5833333134651184
33,val,0.6903061270713806,0.5325203537940979
33,train,0.6828837990760803,0.625
34,val,0.6897189021110535,0.5325203537940979
34,train,0.6934916973114014,0.5
35,val,0.6894304156303406,0.5325203537940979
35,train,0.697902500629425,0.4583333432674408
36,val,0.6898822784423828,0.5325203537940979
36,train,0.696690022945404,0.4166666567325592
37,val,0.6905280351638794,0.5325203537940979
37,train,0.6960615515708923,0.4166666567325592
38,val,0.6883271336555481,0.5325203537940979
38,train,0.6973854899406433,0.4583333432674408
39,val,0.6888552904129028,0.5325203537940979
39,train,0.6922460198402405,0.5
40,val,0.6884850859642029,0.5325203537940979
40,train,0.6937136650085449,0.4166666567325592
41,val,0.6880959868431091,0.5365853905677795
41,train,0.6856768727302551,0.4166666567325592
42,val,0.6862107515335083,0.5325203537940979
42,train,0.6977066993713379,0.3333333432674408
43,val,0.685102641582489,0.5569105744361877
43,train,0.670129120349884,0.625
44,val,0.6803516745567322,0.5325203537940979
44,train,0.680749237537384,0.5833333134651184
45,val,0.6820492744445801,0.6382113695144653
45,train,0.7152650952339172,0.5
46,val,0.6831695437431335,0.6382113695144653
46,train,0.6551709175109863,0.6666666865348816
47,val,0.6757422089576721,0.6260162591934204
47,train,0.6670369505882263,0.5
48,val,0.6733788847923279,0.6463414430618286
48,train,0.6752399802207947,0.5416666865348816
49,val,0.666201651096344,0.6544715166091919
49,train,0.65695720911026,0.6666666865348816
50,val,0.6615902185440063,0.630081295967102
50,train,0.6257878541946411,0.7083333134651184
51,val,0.6524262428283691,0.6585366129875183
51,train,0.6886600852012634,0.625
52,val,0.6430500745773315,0.6341463327407837
52,train,0.6762893199920654,0.625
53,val,0.6362246870994568,0.630081295967102
53,train,0.6611884236335754,0.625
54,val,0.6423816084861755,0.642276406288147
54,train,0.7446241974830627,0.5416666865348816
55,val,0.6333736777305603,0.6260162591934204
55,train,0.6684347987174988,0.5833333134651184
56,val,0.6295276880264282,0.642276406288147
56,train,0.6773094534873962,0.625
57,val,0.6324526071548462,0.642276406288147
57,train,0.7134028077125549,0.5416666865348816
58,val,0.6233069896697998,0.6544715166091919
58,train,0.6147360801696777,0.75
59,val,0.6191961765289307,0.6585366129875183
59,train,0.5937478542327881,0.7083333134651184
60,val,0.6329129934310913,0.642276406288147
60,train,0.6570759415626526,0.6666666865348816
61,val,0.616000771522522,0.6382113695144653
61,train,0.5797466039657593,0.6666666865348816
62,val,0.6128408312797546,0.6138211488723755
62,train,0.62721186876297,0.7916666865348816
63,val,0.610556423664093,0.6504064798355103
63,train,0.6215060353279114,0.625
64,val,0.6226181387901306,0.642276406288147
64,train,0.6413310766220093,0.6666666865348816
65,val,0.6019296050071716,0.6666666865348816
65,train,0.8014666438102722,0.4583333432674408
66,val,0.6211982369422913,0.6544715166091919
66,train,0.6650767922401428,0.5833333134651184
67,val,0.6037684679031372,0.6747967600822449
67,train,0.708171546459198,0.625
